Date,Leader's Price,Follower's Price,Cost
1,1.775727163603089,1.407963788670097,1
2,1.78347712711631,1.408052695851404,1
3,1.763033838436848,1.4197782269527255,1
4,1.82091971697438,41.4321320200146,1
5,1.761305721231016,1.427047592842093,1
6,1.850158796429711,1.4468572676633067,1
7,1.729571062370471,1.4398764176175416,1
8,1.764945714720615,1.451570848683055,1
9,1.757741313509669,1.45502329666927,1
10,1.785535081282942,1.464119975450977,1
11,1.862480621977598,1.491029365305324,1
12,1.7850171206721,1.4847104978380814,1
13,1.78116713678263,1.4874014617314424,1
14,1.885725899283548,1.5087794670623265,1
15,1.878782193360117,1.5126853345862765,1
16,1.78232213194947,1.4969678872027918,1
17,1.811635760968174,1.5088953283148905,1
18,1.773762514158022,1.5080287314086864,1
19,1.77577715933737,1.5184676161900337,1
20,1.7719271754479,1.5165941532164935,1
21,1.77423716578158,1.5223588940654251,1
22,1.78155213517157,1.5303430352135272,1
23,1.78309212872736,1.533718839554498,1
24,1.78617211583894,1.5433902389562089,1
25,1.77616215772632,1.5500647144925292,1
26,1.718536066326739,1.53530527903319,1
27,1.78655711422789,1.5545581464340448,1
28,1.721827510654643,1.5443984463415181,1
29,1.715351437313906,1.545779016788971,1
30,1.898423209079878,1.5926096673961414,1
31,1.77500716255948,1.5682261688999997,1
32,1.769283450136514,1.577406866030461,1
33,1.77231217383685,1.5764004958402609,1
34,1.785951241940347,1.5872258404560464,1
35,1.77654715611526,1.5864268553178096,1
36,1.743782674046692,1.5846465285081324,1
37,1.77539216094842,1.6023267811691284,1
38,1.77346716900369,1.5978841684170357,1
39,1.889813637233622,1.6298237548140064,1
40,1.743637547580599,1.6011654031290474,1
41,1.727939978961336,1.5964643112085377,1
42,1.78193713356052,1.615577696926657,1
43,1.877586423137033,1.6431198802167157,1
44,1.77885714644895,1.6205287177933492,1
45,1.891296502461421,1.6570769791215358,1
46,1.85828944995831,1.6522701030945741,1
47,1.77462216417053,1.6337076507373844,1
48,1.758381211096296,1.6296598580068535,1
49,1.72604275976255,1.6239408724447604,1
50,1.78694211261683,1.64540815228834,1
51,1.899949828097684,1.6783470538304677,1
52,1.872970473860718,1.6750844668996974,1
53,1.790458079613707,1.6549531990487911,1
54,1.7776392265858,1.6547841489127477,1
55,1.756583887116458,1.6535842388077637,1
56,1.780652209077986,1.6634447089412383,1
57,1.773582936191082,1.665273515671886,1
58,1.77731715289316,1.668389374128392,1
59,1.805600345606945,1.6790565907014574,1
60,1.719304091414601,1.657867074744003,1
61,1.78001214161579,1.676392809011628,1
62,1.776754422853762,1.6814892617467234,1
63,1.78386212550526,1.68633470798954,1
64,1.874616516649872,1.7145547750463916,1
65,1.78540211906104,1.6900856171028313,1
66,1.77308217061474,1.6898909067990955,1
67,1.86828069261403,1.7241586357283747,1
68,1.78463212228315,1.6982970196755305,1
69,1.729274938746562,1.6850201091618953,1
70,1.7777021512821,1.7019816158580265,1
71,1.837842151919433,1.7229088448558538,1
72,1.77924214483789,1.7081773339833806,1
73,1.718570831359443,1.6903612660174405,1
74,1.7842471238942,1.7117119441323045,1
75,1.77962714322684,1.7130686702241613,1
76,1.77693215450421,1.715276499039198,1
77,1.838833591568619,1.7354565912743847,1
78,1.725675283241064,1.7037299889499211,1
79,1.72358162717724,1.7066573075014413,1
80,1.77847214806,1.7250876069227088,1
81,1.746194742885626,1.7222893829928225,1
82,1.773962791363167,1.7330426220115722,1
83,1.740093313402761,1.719597377385597,1
84,1.813346564420447,1.744704312272217,1
85,1.899721493686849,1.7738442437906843,1
86,1.78270713033842,1.7412332366327985,1
87,1.823257420100932,1.7563562427938242,1
88,1.886726206628553,1.7769155626382336,1
89,1.730776919811249,1.7318706483211934,1
90,1.77808714967105,1.7480882954057355,1
91,1.868141463978094,1.777214754561801,1
92,1.787140491555155,1.7565604519379683,1
93,1.78578711744999,1.7553170830631508,1
94,1.78078213839368,1.756080889118545,1
95,1.834550291316362,1.7761129535813514,1
96,1.826762778875502,1.7739802438503367,1
97,1.872759699067166,1.7923118295042522,1
98,1.77269717222579,1.7604852091731595,1
99,1.77385216739264,1.7628981889780704,1
100,1.78039714000473,1.7664235356685034,1
