Date,Leader's Price,Follower's Price,Cost
1,1.72182751065464,1.7740334017234027,1
2,1.77924214483789,1.7930293012814658,1
3,1.787140491555155,1.7864842780473058,1
4,1.77346716900369,1.77329030422935,1
5,1.746194742885626,1.8108350710761212,1
6,1.78578711744999,1.8437689301889215,1
7,1.761305721231016,1.7895945670166615,1
8,1.889813637233622,1.797927214421519,1
9,1.718570831359443,1.7731638979769213,1
10,1.86828069261403,1.7970913022929982,1
11,1.740093313402761,1.8016028151353387,1
12,1.764945714720615,1.771220008235544,1
13,1.77423716578158,1.829242874913536,1
14,1.826762778875502,1.857671982655581,1
15,1.899721493686849,1.7909293643039472,1
16,1.85828944995831,1.80573266144717,1
17,1.773582936191082,1.8186279647927694,1
18,1.727939978961336,1.7719052558571904,1
19,1.877586423137033,1.8531396300114995,1
20,1.743637547580599,1.7927395401649546,1
21,1.77962714322684,1.8217999239185703,1
22,1.823257420100932,1.8517307798781624,1
23,1.78155213517157,1.775860211885984,1
24,1.78694211261683,1.834187248719172,1
25,1.77885714644895,1.8129320449456097,1
26,1.805600345606945,1.8270594802830367,1
27,1.729571062370471,1.785165210403795,1
28,1.756583887116458,1.8237424068396533,1
29,1.718536066326739,1.8150604020592478,1
30,1.837842151919433,1.7846439130997183,1
31,1.78347712711631,1.773957273524496,1
32,1.872970473860718,1.7990948061126704,1
33,1.7776392265858,1.8200392522570679,1
34,1.77731715289316,1.8131569455271173,1
35,1.7719271754479,1.8023886833968452,1
36,1.77500716255948,1.767626556268263,1
37,1.725675283241064,1.8213396166208518,1
38,1.7842471238942,1.8127626468938025,1
39,1.77616215772632,1.8403632387951987,1
40,1.77693215450421,1.827110525483646,1
41,1.77847214806,1.77771188160897,1
42,1.72604275976255,1.7708789928405666,1
43,1.838833591568619,1.8509334475407078,1
44,1.886726206628553,1.8084218776262382,1
45,1.868141463978094,1.8365641660015646,1
46,1.898423209079878,1.8130357779186796,1
47,1.757741313509669,1.7716241759703684,1
48,1.813346564420447,1.7883415869042405,1
49,1.715351437313906,1.7740472087948442,1
50,1.77269717222579,1.8370961437219004,1
51,1.872759699067166,1.802943275200434,1
52,1.776754422853762,1.8100278760808053,1
53,1.775727163603089,1.7834175375088548,1
54,1.719304091414601,1.8074925067075776,1
55,1.878782193360117,1.8035677012924562,1
56,1.743782674046692,1.804437370147882,1
57,1.78193713356052,1.7744185594347988,1
58,1.72358162717724,1.7759963176648077,1
59,1.7777021512821,1.8075950519693347,1
60,1.891296502461421,1.795040372754022,1
61,1.785535081282942,1.7753433507469454,1
62,1.77539216094842,1.8206962232740453,1
63,1.77462216417053,1.8056940228475178,1
64,1.77308217061474,1.783585140789644,1
65,1.790458079613707,1.8086904523458285,1
66,1.769283450136514,1.802361713738505,1
67,1.78309212872736,1.8765744540369436,1
68,1.78386212550526,1.7709902489967941,1
69,1.862480621977598,1.8072696364415644,1
70,1.78001214161579,1.8315560562863025,1
71,1.78617211583894,1.796670525748044,1
72,1.77385216739264,1.7991303549890052,1
73,1.730776919811249,1.800183753464121,1
74,1.899949828097684,1.796036119557118,1
75,1.78540211906104,1.802990568465217,1
76,1.77577715933737,1.8380010816196388,1
77,1.773962791363167,1.8268792215416418,1
78,1.77231217383685,1.8251630771590968,1
79,1.758381211096296,1.810107306462555,1
80,1.78655711422789,1.7793447006074539,1
81,1.78116713678263,1.7980713708819178,1
82,1.78232213194947,1.8018339021279135,1
83,1.811635760968174,1.7760520492025476,1
84,1.78463212228315,1.7892194306883655,1
85,1.763033838436848,1.772342103706993,1
86,1.77808714967105,1.80216549326629,1
87,1.874616516649872,1.817798391796176,1
88,1.729274938746562,1.8046871793623902,1
89,1.785951241940347,1.838371679099004,1
90,1.773762514158022,1.7918367238090498,1
91,1.885725899283548,1.8659911443595256,1
92,1.82091971697438,1.7747568784065682,1
93,1.78039714000473,1.7912087612957854,1
94,1.850158796429711,1.7985932394125559,1
95,1.78078213839368,1.7789969453337067,1
96,1.834550291316362,1.8569186530006205,1
97,1.77654715611526,1.8070710749988905,1
98,1.78270713033842,1.787561193779334,1
99,1.7850171206721,1.7971646423991308,1
100,1.780652209077986,1.7969501319533558,1
